Name,Electorate,Majority,Member of Parliament,,Unionist,Nationalist,Other,Map
BELFAST EAST,"66,245","1,819",,Gavin Robinson,55.1,0,44.9,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BELFAST NORTH,"72,225","1,943",,John Finucane,43.1,47.1,9.8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BELFAST SOUTH,"69,984","15,401",,Claire Hanna,27.2,58.4,14.3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BELFAST WEST,"65,644","14,672",,Paul Maskey,13.5,65.7,20.9,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EAST ANTRIM,"64,830","6,706",,Sammy Wilson,62.8,8.1,29.1,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EAST LONDONDERRY,"69,246","9,607",,Gregory Campbell,49.3,35.7,15.1,
,,,,,,,,
,,,,,,,,
,,,,,,,,
FERMANAGH AND SOUTH TYRONE,"72,848",57,,Michelle Gildernew,43.2,50.1,6.3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
FOYLE,"74,346","17,110",,Colum Eastwood,12.4,82,5.5,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LAGAN VALLEY,"75,735","6,499",,Jeffrey Donaldson,64.9,6.3,28.8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MID ULSTER,"70,449","9,537",,Francie Molloy,30.4,60.2,9.4,
,,,,,,,,
,,,,,,,,
,,,,,,,,
NEWRY AND ARMAGH,"81,226","9,287",,Mickey Brady,30,61.8,8.3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
NORTH ANTRIM,"77,134","12,721",,"Ian Paisley, Jr.",65.9,19.5,14.7,
,,,,,,,,
,,,,,,,,
,,,,,,,,
NORTH DOWN,"67,099","2,968",,Stephen Farry,45.2,0,54.8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SOUTH ANTRIM,"71,711","2,689",,Paul Girvan,64.3,16.7,19.1,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SOUTH DOWN,"79,175","1,620",,Chris Hazzard,21.9,64.1,13.9,
,,,,,,,,
,,,,,,,,
,,,,,,,,
STRANGFORD,"66,928","7,071",,Jim Shannon,62.6,6.8,30.5,
,,,,,,,,
,,,,,,,,
,,,,,,,,
UPPER BANN,"82,887","8,210",,Carla Lockhart,53.4,33.8,12.9,
,,,,,,,,
,,,,,,,,
,,,,,,,,
WEST TYRONE,"66,259","7,478",,Ã“rfhlaith Begley,28.7,60.4,11,
,,,,,,,,
,,,,,,,,
,,,,,,,,
